Date,Total_outages,Equipment,Trees,Animals,Lightning,Others,Day_length_hr,Max_temp_F,Avg_Temp_F,Min_temp_F,Max_humidity_percent,Avg_humidity_percent,Min_humidity_percent,Max_visibility_mi,Avg_visibility_mi,Min_visibility_mi,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in,Events,Event_fog,Event_rain,Event_snow,Event_thunderstorm,Event_Hail
1/1/14,0,0,0,0,0,0,8.529,45,42,38,93,88,83,10,2,0,8,3,9,0.01,Fog,1,0,0,0,0
1/2/14,0,0,0,0,0,0,8.547,51,47,43,89,76,63,10,7,0,21,7,26,0,,0,0,0,0,0
1/3/14,1,1,0,0,0,0,8.566,48,43,37,85,73,60,10,10,4,14,6,16,0,Fog,1,0,0,0,0
1/4/14,0,0,0,0,0,0,8.586,46,40,33,92,75,58,10,10,7,10,6,13,0,,0,0,0,0,0
1/5/14,4,4,0,0,0,0,8.608,47,39,31,96,75,53,10,6,0,15,8,17,0,,0,0,0,0,0
1/6/14,1,1,0,0,0,0,8.632,46,39,31,85,67,49,10,9,0,25,6,28,0,,0,0,0,0,0
1/7/14,1,0,1,0,0,0,8.656,47,44,41,92,87,82,9,3,0,10,4,12,0,,0,0,0,0,0
1/8/14,0,0,0,0,0,0,8.682,50,48,45,93,85,76,10,8,2,24,10,32,0,Rain,0,1,0,0,0
1/9/14,1,1,0,0,0,0,8.709,49,46,42,89,80,70,10,8,2,32,14,41,0.05,Rain,0,1,0,0,0
1/10/14,0,0,0,0,0,0,8.738,55,51,47,86,83,80,10,10,7,30,16,41,0.04,Fog-Rain,1,1,0,0,0
1/11/14,15,3,12,0,0,0,8.767,58,52,45,86,74,62,10,8,1,41,20,56,0,Rain,0,1,0,0,0
1/12/14,0,0,0,0,0,0,8.798,52,47,42,86,76,65,10,10,9,30,18,39,0,,0,0,0,0,0
1/13/14,3,3,0,0,0,0,8.83,51,51,50,86,82,77,10,10,10,33,16,45,0,,0,0,0,0,0
1/14/14,1,1,0,0,0,0,8.863,52,49,45,93,85,77,10,8,0,13,3,16,0,,0,0,0,0,0
