Date	Total_outages	Equipment	Trees	Animals	Lightning	Day_length_hr	Max_temp_F	Avg_Temp_F	Min_temp_F	Max_humidity_percent	Avg_humidity_percent	Min_humidity_percent	Max_visibility_mi	Avg_visibility_mi	Min_visibility_mi	Max_windspeed_mph	Avg_windspeed_mph	Max_windgust_mph	Precipitation_in	Events	Event_fog	Event_rain	Event_snow	Event_thunderstorm	Event_Hail	Event_Tornado
9/11/00	0	0	0	0	0	12.78333	66	58	50	100	89	58	10	6	0	8	2	9	0.01	Fog	1	0	0	0	0	0
9/12/00	2	1	0	1	0	12.71667	75	62	52	100	69	33	10	10	7	8	4	9	0		0	0	0	0	0	0
9/13/00	1	1	0	0	0	12.66667	77	64	54	97	74	52	10	10	10	16	7	25	0	Fog	1	0	0	0	0	0
9/14/00	0	0	0	0	0	12.61667	84	71	60	87	66	39	10	10	10	17	12	9	0		0	0	0	0	0	0
9/15/00	1	1	0	0	0	12.55000	73	66	59	97	79	53	10	10	10	12	5	9	0		0	0	0	0	0	0
9/16/00	0	0	0	0	0	12.50000	69	64	57	96	85	68	10	10	8	8	4	9	0		0	0	0	0	0	0
9/17/00	2	1	0	1	0	12.43333	72	64	57	100	85	57	10	10	8	7	2	9	0		0	0	0	0	0	0
9/18/00	1	0	1	0	0	12.38333	70	65	60	100	90	73	10	9	2	13	6	9	0	Rain	0	1	0	0	0	0
9/19/00	2	1	0	1	0	12.33333	71	65	59	100	87	58	10	9	2	10	5	9	0.05	Rain	0	1	0	0	0	0
9/20/00	0	0	0	0	0	12.26667	64	58	53	100	94	72	10	5	0	7	3	22	0.04	Fog-Rain	1	1	0	0	0	0
9/21/00	1	1	0	0	0	12.21667	66	60	55	100	77	50	10	10	7	18	7	16	0	Rain	0	1	0	0	0	0
9/22/00	0	0	0	0	0	12.15000	66	57	50	92	45	30	10	10	10	15	8	9	0		0	0	0	0	0	0
9/23/00	1	1	0	0	0	12.10000	71	58	46	86	43	21	10	10	10	9	6	9	0		0	0	0	0	0	0
9/24/00	1	1	0	0	0	12.03333	73	59	46	96	64	30	10	10	10	8	2	9	0		0	0	0	0	0	0
9/25/00	0	0	0	0	0	11.98333	73	60	46	100	63	28	10	10	10	8	2	9	0		0	0	0	0	0	0
9/26/00	0	0	0	0	0	11.93333	75	60	46	93	64	30	10	10	10	6	1	9	0		0	0	0	0	0	0
9/27/00	1	1	0	0	0	11.86667	73	61	50	96	71	48	10	10	10	10	3	9	0		0	0	0	0	0	0
9/28/00	0	0	0	0	0	11.81667	64	58	52	100	84	60	10	10	9	9	5	18	0		0	0	0	0	0	0
9/29/00	0	0	0	0	0	11.75000	64	60	55	100	91	77	10	8	2	14	9	25	0.08	Rain	0	1	0	0	0	0
