Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
0,12.783333,58,89,8,2,9,0.01
2,12.716667,62,69,8,4,9,0
1,12.666667,64,74,16,7,25,0
0,12.616667,71,66,17,12,9,0
1,12.55,66,79,12,5,9,0
0,12.5,64,85,8,4,9,0
2,12.433333,64,85,7,2,9,0
1,12.383333,65,90,13,6,9,0
2,12.333333,65,87,10,5,9,0.05
0,12.266667,58,94,7,3,22,0.04
1,12.216667,60,77,18,7,16,0
0,12.15,57,45,15,8,9,0
1,12.1,58,43,9,6,9,0
1,12.033333,59,64,8,2,9,0
0,11.983333,60,63,8,2,9,0
0,11.933333,60,64,6,1,9,0
1,11.866667,61,71,10,3,9,0
0,11.816667,58,84,9,5,18,0
0,11.75,60,91,14,9,25,0.08
4,11.7,58,98,18,12,18,0.23
0,11.65,54,78,12,6,9,0.03
0,11.583333,54,77,9,5,9,0
0,11.533333,53,81,9,6,17,0
2,11.466667,52,86,16,4,9,0
0,11.416667,55,76,15,11,9,0
0,11.366667,64,30,18,10,9,0
1,11.3,60,43,10,6,9,0
0,11.25,57,81,9,6,9,0
2,11.2,53,100,8,3,17,0.45
0,11.133333,53,91,12,4,9,0.01
0,11.083333,54,92,7,2,9,0
1,11.016667,53,88,9,5,9,0
0,10.966667,54,98,9,5,9,0.06
0,10.916667,50,85,10,6,9,0
0,10.85,46,89,10,4,9,0
1,10.8,52,96,13,5,23,0.62
2,10.75,58,80,13,7,17,0.32
1,10.683333,52,89,13,9,9,0
0,10.633333,49,90,14,5,21,0.48
1,10.583333,52,92,15,9,9,0.8
0,10.533333,50,82,12,6,9,0
0,10.466667,49,79,12,5,9,0
0,10.416667,52,74,8,4,9,0
1,10.366667,52,85,6,1,9,0
3,10.316667,50,87,14,5,9,0
0,10.25,50,90,9,4,9,0
0,10.2,50,88,13,6,25,0.07
2,10.15,50,75,16,10,9,0.13
0,10.1,50,84,7,4,9,0
1,10.05,45,93,8,2,21,0
0,10,48,86,15,7,9,0.01
1,9.95,45,85,6,2,9,0
0,9.9,50,78,8,1,9,0
0,9.85,50,85,7,2,30,0
0,9.8,49,82,20,12,9,0.15
0,9.75,46,90,16,8,9,0.04
1,9.7,46,92,10,5,9,0.14
1,9.65,44,94,8,4,9,0
1,9.6,42,95,9,4,9,0.85
1,9.55,42,87,12,6,9,0.1
0,9.5,40,52,12,10,9,0
0,9.466667,36,64,8,4,9,0
1,9.416667,38,75,8,5,9,0
0,9.366667,41,56,14,8,9,0
0,9.333333,40,64,10,7,9,0
0,9.283333,38,78,9,5,9,0
0,9.233333,36,84,10,2,9,0
4,9.2,37,78,10,5,9,0
0,9.15,38,78,8,3,9,0
0,9.116667,37,90,10,3,9,0
0,9.083333,46,55,9,6,9,0
0,9.033333,42,79,7,2,9,0
0,9,39,82,8,4,16,0
0,8.966667,40,99,13,5,9,0.38
2,8.933333,44,93,12,7,9,0.01
0,8.883333,43,97,14,5,20,0.15
2,8.85,46,93,14,10,9,0.91
0,8.816667,42,90,10,6,25,0
1,8.8,40,81,17,6,25,0
0,8.766667,45,83,21,13,20,0.25
0,8.733333,48,77,16,11,9,0.05
1,8.7,46,66,16,8,9,0.04
1,8.683333,44,92,14,5,9,0.18
0,8.65,40,97,16,7,9,0
0,8.633333,44,80,13,8,9,0.03
0,8.6,42,82,12,8,9,0
0,8.583333,42,87,10,5,9,0
0,8.566667,36,100,9,4,20,0
0,8.55,36,97,14,6,9,0.02
0,8.516667,40,91,13,7,9,0.06
0,8.5,34,82,15,6,20,0
0,8.5,32,60,16,8,9,0
0,8.483333,32,52,12,6,9,0
0,8.466667,34,71,9,7,44,0
2,8.45,36,88,29,10,37,0.26
1,8.45,38,66,25,14,44,0
1,8.433333,43,85,26,14,28,0.74
0,8.433333,42,80,17,10,9,0
1,8.433333,38,85,10,5,9,0
0,8.416667,36,93,10,4,9,0
0,8.416667,38,84,14,6,24,0.06
2,8.416667,44,62,21,12,9,0.08
0,8.416667,42,88,15,11,9,0.27
1,8.433333,44,90,12,9,9,0.24
0,8.433333,44,91,13,8,9,0
2,8.433333,44,89,12,5,9,0.04
0,8.45,47,87,12,5,17,0.06
0,8.45,44,96,12,6,9,0.01
1,8.466667,40,91,9,6,9,0
2,8.466667,40,96,8,3,9,0.1
0,8.483333,46,96,10,6,20,0.06
0,8.5,44,97,15,8,9,0.28
1,8.516667,42,87,13,4,9,0
1,8.533333,46,76,17,6,9,0
0,8.55,44,81,12,6,9,0.36
1,8.566667,49,94,14,4,38,0.6
2,8.6,46,89,26,15,9,0.21
3,8.616667,42,90,17,8,9,0
0,8.65,44,46,17,9,9,0
0,8.666667,44,80,14,7,26,0.05
0,8.7,40,84,15,5,26,0.03
0,8.716667,46,72,21,9,9,0
0,8.75,45,79,13,8,9,0
1,8.783333,42,91,9,3,9,0
0,8.816667,38,95,10,5,9,0.06
0,8.85,39,96,8,4,9,0.01
0,8.883333,36,95,10,4,9,0
1,8.916667,32,97,8,2,9,0
0,8.95,34,97,7,3,9,0.08
0,8.983333,41,99,12,4,9,0.16
0,9.016667,42,90,14,7,9,0.04
1,9.066667,42,67,14,7,9,0.01
0,9.1,42,98,14,6,22,0.76
1,9.15,43,83,16,5,28,0
0,9.183333,50,43,22,13,9,0
0,9.233333,44,91,9,5,9,0.01
1,9.266667,39,77,14,5,9,0
0,9.316667,42,63,15,9,9,0
0,9.35,36,84,7,3,9,0
0,9.4,36,85,10,4,33,0.16
1,9.45,42,75,23,13,26,0.09
0,9.5,42,86,20,14,9,0.01
0,9.533333,42,84,15,9,25,0
0,9.583333,44,70,14,5,29,0.06
0,9.633333,44,83,17,10,9,0.29
0,9.683333,42,82,12,7,26,0.16
2,9.733333,45,90,18,9,23,0.38
1,9.783333,42,80,16,10,26,0
4,9.833333,37,73,16,6,9,0.01
0,9.883333,33,65,10,5,9,0
1,9.933333,33,89,12,5,9,0.27
0,9.983333,41,59,13,9,9,0
1,10.05,38,56,14,8,18,0
0,10.1,40,66,14,9,9,0
1,10.15,38,75,9,6,9,0
0,10.2,38,78,12,5,17,0
1,10.25,37,84,12,5,9,0
4,10.3,36,86,16,9,9,0.17
0,10.366667,34,94,13,8,9,0.44
0,10.416667,41,74,15,9,9,0.06
0,10.466667,44,86,13,5,9,0.07
0,10.533333,43,81,13,7,9,0
0,10.583333,45,69,8,5,9,0
1,10.633333,48,80,8,3,9,0.13
0,10.7,44,92,14,5,9,0
0,10.75,41,91,12,4,9,0
0,10.8,42,85,8,4,9,0
0,10.866667,42,77,12,7,9,0
2,10.916667,39,79,14,6,9,0
0,10.966667,44,68,12,7,9,0
0,11.033333,42,69,15,4,34,0
2,11.083333,40,85,25,8,26,0.23
1,11.15,40,87,15,11,9,0
0,11.2,38,72,10,5,23,0
1,11.25,44,62,16,9,9,0
1,11.316667,50,72,10,7,9,0
0,11.366667,52,76,13,9,9,0
0,11.433333,52,71,14,4,22,0.07
