C,gamma,False_Negatives_Bad,False_Negatives_Extreme,False_Positives,Overall_Correctness,Bad_Days,Extreme_Days
1.00E-05,1.00E-05,0.3,0.5,5.745203971,0.293027361,135.2,14.1
1.00E-05,0.0001,0.6,0.8,3.308781158,0.552162401,135.2,13.7
1.00E-05,0.001,0.5,0.9,3.901913872,0.481994704,135.2,14.4
1.00E-05,0.01,0.3,0.8,5.427808789,0.323036187,135.2,14.5
1.00E-05,0.1,0.8,1,1.530678638,0.728331862,135.2,13.3
1.00E-05,1,0.6,0.7,3.746153846,0.54227714,135.2,13.3
1.00E-05,10,0.6,0.8,3.387290197,0.552780229,135.2,13.8
1.00E-05,100,0.4,0.7,4.776158975,0.390732568,135.2,13.7
1.00E-05,1000,0.9,1,0.686805556,0.806707855,135.2,11.9
1.00E-05,10000,0.7,0.9,2.389248893,0.641482789,135.2,14.1
1.00E-05,100000,0.6,0.7,3.036524667,0.546778464,135.2,14.7
0.0001,1.00E-05,0.5,0.7,4.216205187,0.469549868,135.2,12.7
0.0001,0.0001,0.3,0.6,5.645703431,0.305295675,135.2,13.9
0.0001,0.001,0.2,0.5,6.60305322,0.213503972,135.2,15.5
0.0001,0.01,0.4,0.8,5.096034066,0.3929391,135.2,12.5
0.0001,0.1,0.3,0.6,5.63461338,0.301941748,135.2,13.2
0.0001,1,0.4,0.9,4.947746101,0.405295675,135.2,12.5
0.0001,10,0.3,0.5,6.070496867,0.290556046,135.2,13.9
0.0001,100,0.3,0.8,5.696442989,0.318446602,135.2,13.1
0.0001,1000,0.6,0.7,3.559915035,0.545984113,135.2,14.6
0.0001,10000,0.5,0.7,4.005317748,0.468225949,135.2,14.2
0.0001,100000,0.2,0.8,6.46032059,0.239011474,135.2,13.3
0.001,1.00E-05,0.4,0.78,4.508929155,0.400176523,135.2,14.6
0.001,0.0001,0.497478992,0.758333333,4.025405559,0.474404237,135.2,14.5
0.001,0.001,0.2,0.4,6.673008073,0.204324801,135.2,13.7
0.001,0.01,0.3,0.7,5.660266858,0.31059135,135.2,14.1
0.001,0.1,0.597540984,0.588235294,3.429096527,0.532215357,135.2,15.1
0.001,1,0.5,0.8,3.885626915,0.477846425,135.2,15.3
0.001,10,0.2,0.4,6.775439238,0.206796117,135.2,12.9
0.001,100,0.5,0.7,4.103879285,0.464165931,135.2,13
0.001,1000,0.5,0.7,4.336906582,0.468932039,135.2,13.1
0.001,10000,0.3,0.8,5.669001216,0.320829656,135.2,12.5
0.001,100000,0.4,0.6,4.892701959,0.379258605,135.2,12.5
0.01,1.00E-05,0.5,0.9,3.859494026,0.487202118,135.2,14.8
0.01,0.0001,0.8,0.9,1.733606992,0.722594881,135.2,13
0.01,0.001,0.446610604,0.534340659,3.990635081,0.474139453,135.2,15.9
0.01,0.01,0.234107948,0.24206044,3.385747734,0.585966461,135.2,13.5
0.01,0.1,0.205152404,0.260775502,3.343491806,0.581023831,135.2,14.6
0.01,1,0.676650408,0.860750361,1.686535747,0.741482789,135.2,13.2
