,Bad_Days,C,Extreme_Days,False_Negatives_Bad,False_Negatives_Extreme,False_Positives,Overall_Correctness,gamma
0,135.2,1e-05,14.1,0.3,0.5,5.74520397070931,0.29302736098852605,1e-05
1,135.2,1e-05,13.7,0.6,0.8,3.3087811575623176,0.55216240070609,0.0001
2,135.2,1e-05,14.4,0.5,0.9,3.9019138718196062,0.4819947043248014,0.001
3,135.2,1e-05,14.5,0.3,0.8,5.427808788555304,0.32303618711385707,0.01
4,135.2,1e-05,13.3,0.8,1.0,1.5306786380597015,0.7283318623124448,0.1
5,135.2,1e-05,13.3,0.6,0.7,3.746153846153846,0.5422771403353928,1.0
6,135.2,1e-05,13.8,0.6,0.8,3.3872901969152287,0.5527802294792586,10.0
7,135.2,1e-05,13.7,0.4,0.7,4.776158975012134,0.3907325684024713,100.0
8,135.2,1e-05,11.9,0.9,1.0,0.6868055555555556,0.8067078552515448,1000.0
9,135.2,1e-05,14.1,0.7,0.9,2.3892488931056293,0.6414827890556045,10000.0
10,135.2,1e-05,14.7,0.6,0.7,3.036524667230368,0.5467784642541924,100000.0
11,135.2,0.0001,12.7,0.5,0.7,4.216205186634833,0.46954986760812006,1e-05
12,135.2,0.0001,13.9,0.3,0.6,5.645703430641518,0.3052956751985878,0.0001
13,135.2,0.0001,15.5,0.2,0.5,6.603053220246362,0.2135039717563989,0.001
14,135.2,0.0001,12.5,0.4,0.8,5.096034066286645,0.39293909973521624,0.01
15,135.2,0.0001,13.2,0.3,0.6,5.634613379689561,0.30194174757281556,0.1
16,135.2,0.0001,12.5,0.4,0.9,4.947746101489595,0.4052956751985878,1.0
17,135.2,0.0001,13.9,0.3,0.5,6.070496866874971,0.2905560458958517,10.0
18,135.2,0.0001,13.1,0.3,0.8,5.696442989336839,0.31844660194174756,100.0
19,135.2,0.0001,14.6,0.6,0.7,3.559915034562212,0.5459841129744042,1000.0
20,135.2,0.0001,14.2,0.5,0.7,4.005317748486132,0.4682259488084731,10000.0
21,135.2,0.0001,13.3,0.2,0.8,6.460320590067458,0.23901147396293027,100000.0
22,135.2,0.001,14.6,0.4,0.78,4.508929155241183,0.40017652250661956,1e-05
23,135.2,0.001,14.5,0.49747899159663866,0.7583333333333334,4.025405558528296,0.47440423654015873,0.0001
24,135.2,0.001,13.7,0.2,0.4,6.673008072525758,0.20432480141218007,0.001
25,135.2,0.001,14.1,0.3,0.7,5.660266857853381,0.3105913503971756,0.01
26,135.2,0.001,15.1,0.5975409836065573,0.5882352941176471,3.4290965267858184,0.5322153574580759,0.1
27,135.2,0.001,15.3,0.5,0.8,3.8856269149943707,0.477846425419241,1.0
28,135.2,0.001,12.9,0.2,0.4,6.775439237671878,0.20679611650485435,10.0
29,135.2,0.001,13.0,0.5,0.7,4.1038792851694454,0.4641659311562224,100.0
30,135.2,0.001,13.1,0.5,0.7,4.336906582102266,0.4689320388349514,1000.0
31,135.2,0.001,12.5,0.3,0.8,5.669001216260305,0.32082965578111206,10000.0
32,135.2,0.001,12.5,0.4,0.6,4.89270195946955,0.3792586054721977,100000.0
33,135.2,0.01,14.8,0.5,0.9,3.8594940258250103,0.4872021182700794,1e-05
34,135.2,0.01,13.0,0.8,0.9,1.7336069915254235,0.722594880847308,0.0001
35,135.2,0.01,15.9,0.4466106036379255,0.5343406593406593,3.9906350810525337,0.4741394527802295,0.001
36,135.2,0.01,13.5,0.2341079483441144,0.24206043956043954,3.385747734337167,0.5859664607237423,0.01
37,135.2,0.01,14.6,0.20515240412715388,0.26077550184967063,3.3434918056172775,0.5810238305383936,0.1
38,135.2,0.01,13.2,0.6766504076911745,0.8607503607503608,1.6865357465865773,0.7414827890556046,1.0
39,135.2,0.01,13.0,0.4,0.8,4.392834688958896,0.4036187113857017,10.0
40,135.2,0.01,14.9,0.5,0.9,3.8910108504599643,0.4872903795233892,100.0
41,135.2,0.01,14.7,0.7,0.8,2.628921082729699,0.6313327449249779,1000.0
42,135.2,0.01,14.1,0.7,0.7,2.712726023976024,0.6225948808473081,10000.0
43,135.2,0.01,14.0,0.6,0.9,3.123244664695146,0.5676081200353045,100000.0
44,135.2,0.1,12.7,0.7,0.9,2.490380414133739,0.6401588702559576,1e-05
45,135.2,0.1,12.5,0.7334913341103972,0.6430035650623886,1.7663339267091018,0.7177405119152691,0.0001
46,135.2,0.1,13.4,0.1928209383668655,0.3261965008675535,3.55063719143603,0.5654898499558694,0.001
47,135.2,0.1,15.0,0.21640797708915405,0.23706022176997413,3.078644167108364,0.6118270079435129,0.01
48,135.2,0.1,13.1,0.24979570789393407,0.45970748206042317,2.9236997622721734,0.6444836716681377,0.1
49,135.2,0.1,12.1,0.34959804865120925,0.8752701465201465,1.959407546253082,0.7257722859664607,1.0
50,135.2,0.1,14.5,0.5,1.0,4.105313561725486,0.4899382171226832,10.0
51,135.2,0.1,12.7,0.5,1.0,3.8019768980990576,0.49470432480141213,100.0
52,135.2,0.1,13.2,0.6,1.0,3.3146004658924513,0.5676963812886142,1000.0
53,135.2,0.1,12.8,0.7,1.0,2.474670529758182,0.6494263018534863,10000.0
54,135.2,0.1,12.0,0.6,1.0,3.1812627738362234,0.5727272727272728,100000.0
55,135.2,1.0,14.0,0.7374596364525219,0.7821491008991008,1.7379104063308695,0.713503971756399,1e-05
56,135.2,1.0,13.1,0.18567199370964355,0.3042607066136478,3.63217085094326,0.5669902912621361,0.0001
57,135.2,1.0,14.4,0.2267265487089008,0.336511544011544,3.2632728399086544,0.6020300088261252,0.001
58,135.2,1.0,13.6,0.24201133307324563,0.3636933074665273,2.70122744478729,0.6536628420123565,0.01
59,135.2,1.0,14.8,0.307605957505959,0.630420168067227,2.213431744643426,0.6992056487202118,0.1
60,135.2,1.0,13.5,0.5590188507165432,0.9949999999999999,1.2721042470881692,0.785172109443954,1.0
61,135.2,1.0,14.9,0.9406684000549165,1.0,0.10577560402234878,0.8781112091791703,10.0
62,135.2,1.0,13.1,1.0,1.0,0.0023819946990678697,0.8872903795233892,100.0
63,135.2,1.0,14.3,1.0,1.0,0.0,0.8863195057369815,1000.0
64,135.2,1.0,13.7,1.0,1.0,0.0,0.8804060017652251,10000.0
65,135.2,1.0,11.4,1.0,1.0,0.0,0.8852603706972639,100000.0
66,135.2,10.0,13.3,0.16242362623533904,0.2947602397602398,3.9062688383853974,0.5397175639894087,1e-05
67,135.2,10.0,11.8,0.2293785537257655,0.2944871794871795,3.317640909472542,0.6040600176522506,0.0001
68,135.2,10.0,13.9,0.2291592441602631,0.27682186234817807,3.1798278972547296,0.6157105030891439,0.001
69,135.2,10.0,14.1,0.2821070619647011,0.35093191122602885,2.4548688345748695,0.689055604589585,0.01
